Date,Month_Number,Month_Name,Month_Year,Year,Department,Category,Region,Cost_Center,Budget,Actual
01-01-2023,1,Jan,Jan-23,2023,Marketing,Salaries,North,CC-100,49247.61,56737.77
01-01-2023,1,Jan,Jan-23,2023,Marketing,Salaries,South,CC-100,46645.11,52241.17
01-01-2023,1,Jan,Jan-23,2023,Marketing,Salaries,East,CC-100,47777.04,55891.51
01-01-2023,1,Jan,Jan-23,2023,Marketing,Salaries,West,CC-100,50182.97,57549.08
01-01-2023,1,Jan,Jan-23,2023,Marketing,Software,North,CC-100,18616.92,21985.43
01-01-2023,1,Jan,Jan-23,2023,Marketing,Software,South,CC-100,17274.19,19785.49
01-01-2023,1,Jan,Jan-23,2023,Marketing,Software,East,CC-100,18272.27,21363.4
01-01-2023,1,Jan,Jan-23,2023,Marketing,Software,West,CC-100,19007.04,22931.65
01-01-2023,1,Jan,Jan-23,2023,Marketing,Travel,North,CC-100,10555.82,11808.99
01-01-2023,1,Jan,Jan-23,2023,Marketing,Travel,South,CC-100,9608.01,10756.29
01-01-2023,1,Jan,Jan-23,2023,Marketing,Travel,East,CC-100,10228.03,12197.77
01-01-2023,1,Jan,Jan-23,2023,Marketing,Travel,West,CC-100,10701.77,12198.22
01-01-2023,1,Jan,Jan-23,2023,Marketing,Supplies,North,CC-100,7895.89,9011.6
01-01-2023,1,Jan,Jan-23,2023,Marketing,Supplies,South,CC-100,7761.48,8935.99
01-01-2023,1,Jan,Jan-23,2023,Marketing,Supplies,East,CC-100,7934.2,9035.1
01-01-2023,1,Jan,Jan-23,2023,Marketing,Supplies,West,CC-100,8542.2,9686.23
01-01-2023,1,Jan,Jan-23,2023,Marketing,Training,North,CC-100,8396.87,9297.76
01-01-2023,1,Jan,Jan-23,2023,Marketing,Training,South,CC-100,7669.13,9069.35
01-01-2023,1,Jan,Jan-23,2023,Marketing,Training,East,CC-100,8163.27,9609.03
01-01-2023,1,Jan,Jan-23,2023,Marketing,Training,West,CC-100,8664.07,9577.19
01-01-2023,1,Jan,Jan-23,2023,IT,Salaries,North,CC-200,51562.59,45101.52
01-01-2023,1,Jan,Jan-23,2023,IT,Salaries,South,CC-200,49341.04,43552.39
01-01-2023,1,Jan,Jan-23,2023,IT,Salaries,East,CC-200,49736.06,42627.72
01-01-2023,1,Jan,Jan-23,2023,IT,Salaries,West,CC-200,52827.85,45387.29
01-01-2023,1,Jan,Jan-23,2023,IT,Software,North,CC-200,28795.18,24593.53
01-01-2023,1,Jan,Jan-23,2023,IT,Software,South,CC-200,26476.57,22967.89
01-01-2023,1,Jan,Jan-23,2023,IT,Software,East,CC-200,27469.68,24506.17
01-01-2023,1,Jan,Jan-23,2023,IT,Software,West,CC-200,29127.79,25771.35
01-01-2023,1,Jan,Jan-23,2023,IT,Travel,North,CC-200,10625.35,9119.76
01-01-2023,1,Jan,Jan-23,2023,IT,Travel,South,CC-200,10383.79,8910.14
01-01-2023,1,Jan,Jan-23,2023,IT,Travel,East,CC-200,10398.45,9190.81
01-01-2023,1,Jan,Jan-23,2023,IT,Travel,West,CC-200,11282.28,9785.46
01-01-2023,1,Jan,Jan-23,2023,IT,Supplies,North,CC-200,8437.26,7153.57
01-01-2023,1,Jan,Jan-23,2023,IT,Supplies,South,CC-200,8319.14,7478.95
01-01-2023,1,Jan,Jan-23,2023,IT,Supplies,East,CC-200,8143.97,7357.81
01-01-2023,1,Jan,Jan-23,2023,IT,Supplies,West,CC-200,8953.22,7775.82
01-01-2023,1,Jan,Jan-23,2023,IT,Training,North,CC-200,7115.8,6363.93
01-01-2023,1,Jan,Jan-23,2023,IT,Training,South,CC-200,6814.49,5905.91
01-01-2023,1,Jan,Jan-23,2023,IT,Training,East,CC-200,6942.69,6230.7
01-01-2023,1,Jan,Jan-23,2023,IT,Training,West,CC-200,7675.35,6706.9
01-01-2023,1,Jan,Jan-23,2023,HR,Salaries,North,CC-300,44800.02,44827.12
01-01-2023,1,Jan,Jan-23,2023,HR,Salaries,South,CC-300,42197.02,41031.54
01-01-2023,1,Jan,Jan-23,2023,HR,Salaries,East,CC-300,42835.02,41588.89
01-01-2023,1,Jan,Jan-23,2023,HR,Salaries,West,CC-300,46549.69,46017.62
01-01-2023,1,Jan,Jan-23,2023,HR,Software,North,CC-300,15235.34,15122.81
01-01-2023,1,Jan,Jan-23,2023,HR,Software,South,CC-300,14012.57,14393.01
01-01-2023,1,Jan,Jan-23,2023,HR,Software,East,CC-300,14969.71,14591.03
01-01-2023,1,Jan,Jan-23,2023,HR,Software,West,CC-300,15741.62,16178.32
01-01-2023,1,Jan,Jan-23,2023,HR,Travel,North,CC-300,8514.83,8367.5
01-01-2023,1,Jan,Jan-23,2023,HR,Travel,South,CC-300,8124.46,8017.23
01-01-2023,1,Jan,Jan-23,2023,HR,Travel,East,CC-300,8442.1,8580.58
01-01-2023,1,Jan,Jan-23,2023,HR,Travel,West,CC-300,8888.32,8709.47
01-01-2023,1,Jan,Jan-23,2023,HR,Supplies,North,CC-300,6546.13,6638.75
01-01-2023,1,Jan,Jan-23,2023,HR,Supplies,South,CC-300,6412.93,6314.1
01-01-2023,1,Jan,Jan-23,2023,HR,Supplies,East,CC-300,6335.75,6166.66
